_id,city,city_area,gdp,province,reg_pop,resident_pop,builtup_area
80431f7a64c8a4f102204b491bf0bfa9,琼海市,1692,200.5,海南,50.94,50.25,27.1
80431f7a64c8a4f102204b4a658d41f5,奉节县,4098,197.43,重庆,106.41,75.33,5.99
80431f7a64c8a4f102204b4b16a4bc84,嘉峪关市,2900,190.04,甘肃,20.25,24.39,69.5
80431f7a64c8a4f102204b4c7d9d52e8,云阳县,3636,187.91,重庆,134.64,89.66,8.21
80431f7a64c8a4f102204b4d74e3e6a5,南川区,2589,186.25,重庆,68.69,56.43,33
80431f7a64c8a4f102204b4e4d6fa5bf,文昌市,2403,169.63,海南,59.39,55.49,15.8
80431f7a64c8a4f102204b4f0969a0dd,万宁市,1884,165.82,海南,63.8,56.47,13
80431f7a64c8a4f102204b506f81daef,丰都县,2899,150.19,重庆,82.9,59.56,5.82
80431f7a64c8a4f102204b5145c3b3fe,东方市,2256,144.56,海南,44.38,42.01,18.83
80431f7a64c8a4f102204b5237ece250,临高县,1317,144.52,海南,52.06,44.29,9.39
80431f7a64c8a4f102204b53026934b1,秀山县,2453,138.19,重庆,66.21,49.13,8.28
80431f7a64c8a4f102204b540c33ad73,武隆县,2901,131.4,重庆,41.43,34.67,19.96
80431f7a64c8a4f102204b554abb78bc,石柱县,3014,129.24,重庆,54.66,38.65,7.81
80431f7a64c8a4f102204b567a8d4be4,甘南州,40200,126.54,甘肃,72.83,70.5,10.5
80431f7a64c8a4f102204b5743402eab,陵水县,1128,117.25,海南,38.64,32.78,4.1
80431f7a64c8a4f102204b58338717aa,酉阳县,5168,116.97,重庆,85,55.65,4.06
80431f7a64c8a4f102204b59655a913f,彭水县,3897,115.97,重庆,69.81,50.64,2.24
80431f7a64c8a4f102204b5a017ed86b,杨凌示范区,135,105.85,陕西,18.99,20.34,0
80431f7a64c8a4f102204b5b7b22b426,乐东县,2747,104.37,海南,53.04,47.3,7.87
80431f7a64c8a4f102204b5c21c206a0,昌江县,1569,90.19,海南,25.44,22.92,14
80431f7a64c8a4f102204b5d443419bf,巫山县,2955,89.66,重庆,63.83,46.23,3.75
80431f7a64c8a4f102204b5e28cb1a10,定安县,1189,75.1,海南,33.97,29.14,9.11
80431f7a64c8a4f102204b5f6dc97aa3,巫溪县,4015,73.4,重庆,54.39,39.1,4.95
80431f7a64c8a4f102204b60554f5b18,屯昌县,1232,58.15,海南,30.87,26.36,9.66
80431f7a64c8a4f102204b61763a761c,城口县,3289,42.54,重庆,25.06,18.63,2.08
80431f7a64c8a4f102204b62377b72cc,白沙县,2117,39.96,海南,19.47,17.1,10.3
80431f7a64c8a4f102204b633ab5dbe0,琼中县,2706,39.1,海南,22.61,17.72,5
80431f7a64c8a4f102204b64221f49e3,保亭县,1161,38.56,海南,17.11,15.02,4.7
80431f7a64c8a4f102204b6521a78604,五指山市,1129,22.28,海南,10.97,10.56,10
80431f7a64c8a4f102204b6665771630,神农架,3253,20.95,湖北,7.86,7.68,1.27
80431f7a64c8a4f102204b6759995150,三沙市,20,0,海南,0.04,0.06,0
